feedback_id,customer_id,feedback_text,sentiment,source,date,timestamp,cleaned_text,processed_text
F1,CUST2517,This is exactly what I was looking for. Great quality!,Positive,chat,2025-05-05,2025-05-05 13:00:35,this is exactly what i was looking for great quality,exactly looking great quality
F2,CUST8903,Excellent service and fast delivery. Highly recommended!,Positive,chat,2025-10-07,2025-10-07 13:00:35,excellent service and fast delivery highly recommended,excellent service fast delivery highly recommended
F3,CUST4684,Mediocre experience overall. Issue with customer service.,Neutral,review_site,2024-12-19,2024-12-19 13:00:35,mediocre experience overall issue with customer service,mediocre experience overall issue customer service
F4,CUST7417,Satisfactory service. Nothing to complain about. _|' Issue with technical issues.,Neutral,email,2025-01-12,2025-01-12 13:00:35,satisfactory service nothing to complain about issue with technical issues,satisfactory service nothing complain issue technical issue
F5,CUST4907,Outstanding customer support. They resolved my issue quickly. Issue with website navigation.,Positive,social_media,2025-08-29,2025-08-29 13:00:35,outstanding customer support they resolved my issue quickly issue with website navigation,outstanding customer support resolved issue quickly issue website navigation
F6,CUST5450,It's alright. Nothing remarkable to mention. (,Neutral,review_site,2025-04-15,2025-04-15 13:00:35,its alright nothing remarkable to mention,alright nothing remarkable mention
F7,CUST6402,Average experience. Some good points and some bad.,Neutral,review_site,2024-12-25,2024-12-25 13:00:35,average experience some good points and some bad,average experience good point bad
F8,CUST6119,Great value for money. Worth every penny! *] Issue with customer service.,Positive,email,2024-12-13,2024-12-13 13:00:35,great value for money worth every penny issue with customer service,great value money worth every penny issue customer service
F9,CUST7920,Extremely disappointed with the quality. Not recommended.,Negative,chat,2025-03-25,2025-03-25 13:00:35,extremely disappointed with the quality not recommended,extremely disappointed quality recommended
F10,CUST1581,Impressive features and functionality. Love it! ~[ Issue with delivery delays.,Positive,chat,2025-06-25,2025-06-25 13:00:35,impressive features and functionality love it issue with delivery delays,impressive feature functionality love issue delivery delay
F11,CUST8153,Standard quality. Meets basic expectations. %)/,Neutral,review_site,2024-11-15,2024-11-15 13:00:35,standard quality meets basic expectations,standard quality meet basic expectation
F12,CUST1772,Reliable and durable product. No complaints whatsoever.,Positive,email,2025-04-29,2025-04-29 13:00:35,reliable and durable product no complaints whatsoever,reliable durable product complaint whatsoever
F13,CUST3772,Acceptable product for the price point. > Issue with return process.,Neutral,social_media,2025-06-21,2025-06-21 13:00:35,acceptable product for the price point issue with return process,acceptable product price point issue return process
F14,CUST3103,Impressive features and functionality. Love it! Issue with product features.,Positive,social_media,2024-11-19,2024-11-19 13:00:35,impressive features and functionality love it issue with product features,impressive feature functionality love issue product feature
F15,CUST6529,It's alright. Nothing remarkable to mention. Issue with customer service.,Neutral,social_media,2024-11-04,2024-11-04 13:00:35,its alright nothing remarkable to mention issue with customer service,alright nothing remarkable mention issue customer service
F16,CUST3601,Difficult to use and confusing interface. :*. Issue with technical issues.,Negative,chat,2024-12-25,2024-12-25 13:00:35,difficult to use and confusing interface issue with technical issues,difficult use confusing interface issue technical issue
F17,CUST4202,Standard quality. Meets basic expectations. <^<`},Neutral,review_site,2025-03-10,2025-03-10 13:00:35,standard quality meets basic expectations,standard quality meet basic expectation
F18,CUST9302,Poor customer service. No one responded to my queries.,Negative,review_site,2024-11-15,2024-11-15 13:00:35,poor customer service no one responded to my queries,poor customer service one responded query
F19,CUST6173,"It's fine, not great but not terrible either.",Neutral,review_site,2025-07-06,2025-07-06 13:00:35,its fine not great but not terrible either,fine great terrible either
F20,CUST4419,This is exactly what I was looking for. Great quality! Issue with return process.,Positive,review_site,2025-10-17,2025-10-17 13:00:35,this is exactly what i was looking for great quality issue with return process,exactly looking great quality issue return process
F21,CUST4501,This is exactly what I was looking for. Great quality! Issue with delivery delays.,Positive,review_site,2025-07-04,2025-07-04 13:00:35,this is exactly what i was looking for great quality issue with delivery delays,exactly looking great quality issue delivery delay
F23,CUST9829,Extremely disappointed with the quality. Not recommended. \ Issue with website navigation.,Negative,social_media,2025-10-25,2025-10-25 13:00:35,extremely disappointed with the quality not recommended issue with website navigation,extremely disappointed quality recommended issue website navigation
F24,CUST4944,Product is okay. Nothing special but does the job. Issue with website navigation.,Neutral,email,2024-12-21,2024-12-21 13:00:35,product is okay nothing special but does the job issue with website navigation,product okay nothing special job issue website navigation
F25,CUST4225,Overpriced for the features provided. Not worth it.,Negative,chat,2025-02-19,2025-02-19 13:00:35,overpriced for the features provided not worth it,overpriced feature provided worth
F26,CUST2851,Great value for money. Worth every penny!,Positive,review_site,2025-01-28,2025-01-28 13:00:35,great value for money worth every penny,great value money worth every penny
F27,CUST9070,I absolutely love this product! It's amazing and works perfectly. Issue with pricing.,Positive,chat,2025-10-02,2025-10-02 13:00:35,i absolutely love this product its amazing and works perfectly issue with pricing,absolutely love product amazing work perfectly issue pricing
F28,CUST9569,"This is exactly what I was looking for. Great quality! ""'`;",Positive,chat,2025-01-07,2025-01-07 13:00:35,this is exactly what i was looking for great quality,exactly looking great quality
F29,CUST6642,Fantastic experience overall. Will definitely buy again!,Positive,chat,2025-06-12,2025-06-12 13:00:35,fantastic experience overall will definitely buy again,fantastic experience overall definitely buy
F30,CUST5668,Great value for money. Worth every penny! Issue with product availability.,Positive,email,2025-03-09,2025-03-09 13:00:35,great value for money worth every penny issue with product availability,great value money worth every penny issue product availability
F32,CUST7673,Frequent crashes and bugs. Needs improvement. Issue with product availability.,Negative,social_media,2025-02-04,2025-02-04 13:00:35,frequent crashes and bugs needs improvement issue with product availability,frequent crash bug need improvement issue product availability
F33,CUST5438,It's alright. Nothing remarkable to mention. ~{?~~,Neutral,social_media,2025-09-10,2025-09-10 13:00:35,its alright nothing remarkable to mention,alright nothing remarkable mention
F34,CUST5241,The product exceeded my expectations. Very satisfied! <&~ Issue with delivery delays.,Positive,social_media,2025-08-27,2025-08-27 13:00:35,the product exceeded my expectations very satisfied issue with delivery delays,product exceeded expectation satisfied issue delivery delay
F36,CUST8250,Poor customer service. No one responded to my queries. !@~ Issue with delivery delays.,Negative,chat,2025-05-09,2025-05-09 13:00:35,poor customer service no one responded to my queries issue with delivery delays,poor customer service one responded query issue delivery delay
