feedback_id,customer_id,feedback_text,sentiment,source,date,timestamp
F1,CUST2517,This is exactly what I was looking for. Great quality!,Positive,chat,2025-05-05,2025-05-05 13:00:35
F2,CUST8903,Excellent service and fast delivery. Highly recommended!,Positive,chat,2025-10-07,2025-10-07 13:00:35
F3,CUST4684,Mediocre experience overall. Issue with customer service.,Neutral,review_site,2024-12-19,2024-12-19 13:00:35
F4,CUST7417,Satisfactory service. Nothing to complain about. _|' Issue with technical issues.,Neutral,email,2025-01-12,2025-01-12 13:00:35
F5,CUST4907,Outstanding customer support. They resolved my issue quickly. Issue with website navigation.,Positive,social_media,2025-08-29,2025-08-29 13:00:35
F6,CUST5450,It's alright. Nothing remarkable to mention. (,Neutral,review_site,2025-04-15,2025-04-15 13:00:35
F7,CUST6402,Average experience. Some good points and some bad.,Neutral,review_site,2024-12-25,2024-12-25 13:00:35
F8,CUST6119,Great value for money. Worth every penny! *] Issue with customer service.,Positive,email,2024-12-13,2024-12-13 13:00:35
F9,CUST7920,Extremely disappointed with the quality. Not recommended.,Negative,chat,2025-03-25,2025-03-25 13:00:35
F10,CUST1581,Impressive features and functionality. Love it! ~[ Issue with delivery delays.,Positive,chat,2025-06-25,2025-06-25 13:00:35
F11,CUST8153,Standard quality. Meets basic expectations. %)/,Neutral,review_site,2024-11-15,2024-11-15 13:00:35
F12,CUST1772,Reliable and durable product. No complaints whatsoever.,Positive,email,2025-04-29,2025-04-29 13:00:35
F13,CUST3772,Acceptable product for the price point. > Issue with return process.,Neutral,social_media,2025-06-21,2025-06-21 13:00:35
F14,CUST3103,Impressive features and functionality. Love it! Issue with product features.,Positive,social_media,2024-11-19,2024-11-19 13:00:35
F15,CUST6529,It's alright. Nothing remarkable to mention. Issue with customer service.,Neutral,social_media,2024-11-04,2024-11-04 13:00:35
F16,CUST3601,Difficult to use and confusing interface. :*. Issue with technical issues.,Negative,chat,2024-12-25,2024-12-25 13:00:35
F17,CUST4202,Standard quality. Meets basic expectations. <^<`},Neutral,review_site,2025-03-10,2025-03-10 13:00:35
F18,CUST9302,Poor customer service. No one responded to my queries.,Negative,review_site,2024-11-15,2024-11-15 13:00:35
F19,CUST6173,"It's fine, not great but not terrible either.",Neutral,review_site,2025-07-06,2025-07-06 13:00:35
F20,CUST4419,This is exactly what I was looking for. Great quality! Issue with return process.,Positive,review_site,2025-10-17,2025-10-17 13:00:35
